                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.1409,                0.92565,                 1.3715,                0.80575,                 0.7161,                0.79848,                0.47129,                 1.4584,                0.97904,                 1.6482,              0.0009161,              0.0009161,              0.0009161
                     94,                 1.1298,                0.91148,                 1.3556,                0.79396,                0.74376,                0.80912,                0.47516,                 1.4275,                 1.0058,                 1.6427,             0.00090785,             0.00090785,             0.00090785
                     95,                 1.1151,                0.90005,                  1.354,                0.84958,                0.70578,                0.80206,                0.47737,                 1.4729,                 1.0013,                 1.6794,              0.0008996,              0.0008996,              0.0008996
                     96,                 1.1017,                0.89289,                 1.3331,                0.79838,                0.72804,                0.78727,                0.47032,                 1.4844,                0.98237,                 1.6795,             0.00089134,             0.00089134,             0.00089134
                     97,                 1.1031,                0.89702,                 1.3496,                0.84964,                0.69321,                0.81179,                0.47297,                 1.4516,                0.94215,                  1.665,             0.00088309,             0.00088309,             0.00088309
                     98,                 1.1092,                  0.879,                 1.3454,                0.86301,                0.67167,                0.77942,                0.45685,                 1.4514,                0.99862,                 1.6551,             0.00087484,             0.00087484,             0.00087484
                     99,                 1.1002,                0.88897,                 1.3445,                0.80224,                0.70805,                0.78126,                 0.4492,                 1.4761,                0.98395,                 1.6666,             0.00086659,             0.00086659,             0.00086659
                    100,                 1.0674,                0.83996,                 1.3167,                0.82292,                0.68362,                0.77137,                0.46424,                 1.4587,                0.98957,                 1.6697,             0.00085834,             0.00085834,             0.00085834
                    101,                 1.1043,                0.86425,                 1.3446,                 0.7078,                  0.725,                0.77416,                0.46128,                 1.4826,                0.96446,                 1.6793,             0.00085009,             0.00085009,             0.00085009
                    102,                  1.093,                0.84855,                 1.3362,                0.85553,                0.67515,                0.79759,                0.48474,                 1.4441,                0.96633,                 1.6497,             0.00084184,             0.00084184,             0.00084184
                    103,                 1.0929,                0.86105,                 1.3334,                0.81096,                0.69535,                0.78451,                0.45789,                 1.4737,                0.98031,                 1.6927,             0.00083358,             0.00083358,             0.00083358
                    104,                 1.0779,                0.83928,                 1.3191,                0.74737,                 0.7134,                0.76844,                0.45725,                 1.4791,                 0.9731,                 1.6764,             0.00082533,             0.00082533,             0.00082533
                    105,                 1.0632,                  0.838,                 1.3235,                0.82125,                0.71912,                0.79036,                0.47724,                 1.4563,                0.96895,                   1.64,             0.00081708,             0.00081708,             0.00081708
                    106,                 1.0884,                0.83852,                 1.3423,                0.83682,                0.69377,                0.79377,                0.47312,                 1.4292,                0.95794,                   1.63,             0.00080883,             0.00080883,             0.00080883
                    107,                 1.0875,                0.85591,                 1.3324,                 0.7173,                0.76909,                0.79028,                0.46955,                 1.4441,                0.95883,                 1.6632,             0.00080058,             0.00080058,             0.00080058
                    108,                  1.042,                0.81826,                 1.3037,                0.82896,                0.72597,                0.79888,                0.47657,                 1.4492,                0.96174,                 1.6776,             0.00079233,             0.00079233,             0.00079233
                    109,                 1.0521,                0.80008,                 1.2993,                0.78353,                0.69615,                 0.7711,                0.45727,                 1.4511,                0.94711,                 1.6538,             0.00078407,             0.00078407,             0.00078407
                    110,                 1.0194,                0.78737,                 1.2853,                0.78081,                0.72093,                 0.7903,                 0.4642,                 1.4682,                0.94313,                 1.6589,             0.00077582,             0.00077582,             0.00077582
                    111,                 1.0344,                0.79587,                 1.2829,                0.75221,                0.74225,                0.79758,                0.45948,                 1.4389,                0.92921,                 1.6421,             0.00076757,             0.00076757,             0.00076757
                    112,                 1.0209,                0.78079,                 1.2865,                0.73497,                0.74762,                0.78232,                  0.462,                 1.4723,                 1.0061,                 1.6713,             0.00075932,             0.00075932,             0.00075932
                    113,                  1.026,                0.78559,                 1.2809,                0.78479,                0.71598,                0.78224,                0.47049,                 1.4675,                0.99578,                 1.6735,             0.00075107,             0.00075107,             0.00075107
