                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.0106,                0.71744,                 1.1952,                0.84543,                0.77891,                0.84961,                0.51092,                 1.4366,                0.86046,                 1.5076,             0.00094911,             0.00094911,             0.00094911
                     90,                0.99299,                0.70528,                 1.1974,                0.85443,                0.79308,                0.84581,                0.50959,                 1.4136,                0.85496,                 1.5245,             0.00094085,             0.00094085,             0.00094085
                     91,                0.99979,                0.69436,                  1.196,                0.83481,                 0.7607,                0.83698,                0.50965,                 1.4319,                0.86902,                 1.5242,              0.0009326,              0.0009326,              0.0009326
                     92,                0.96907,                0.67575,                 1.1744,                0.82281,                0.77102,                 0.8411,                0.50816,                 1.4152,                0.85935,                 1.5059,             0.00092435,             0.00092435,             0.00092435
                     93,                 0.9838,                0.68578,                 1.1864,                0.89318,                0.75535,                0.84962,                0.51538,                  1.411,                0.82845,                 1.5219,              0.0009161,              0.0009161,              0.0009161
                     94,                0.98113,                0.67394,                 1.1754,                0.86179,                 0.7619,                0.83746,                 0.5073,                 1.4344,                0.86791,                 1.5346,             0.00090785,             0.00090785,             0.00090785
                     95,                0.99474,                0.69773,                 1.1784,                 0.8211,                0.78929,                0.83633,                0.51061,                 1.4163,                0.87207,                 1.4876,              0.0008996,              0.0008996,              0.0008996
                     96,                0.96181,                0.65169,                   1.16,                0.85847,                0.77324,                0.85608,                0.52208,                 1.4182,                0.82085,                  1.514,             0.00089134,             0.00089134,             0.00089134
                     97,                0.96462,                0.67134,                 1.1714,                0.84669,                0.77438,                0.83459,                0.51766,                 1.4329,                0.84121,                 1.5257,             0.00088309,             0.00088309,             0.00088309
                     98,                0.95082,                0.65348,                 1.1618,                0.90393,                0.73337,                0.83549,                0.52151,                 1.4082,                0.85151,                 1.5329,             0.00087484,             0.00087484,             0.00087484
                     99,                0.94972,                0.66332,                 1.1713,                0.81666,                0.79009,                0.83778,                 0.5201,                 1.4257,                0.86223,                 1.5217,             0.00086659,             0.00086659,             0.00086659
                    100,                0.95439,                0.65678,                 1.1571,                0.80469,                0.76871,                0.83699,                0.50892,                 1.4277,                0.83407,                 1.5366,             0.00085834,             0.00085834,             0.00085834
                    101,                0.96556,                0.66088,                  1.167,                0.88772,                 0.7267,                0.82521,                0.49862,                 1.4382,                0.89836,                 1.5001,             0.00085009,             0.00085009,             0.00085009
                    102,                0.94354,                0.65882,                 1.1579,                0.82863,                0.77041,                0.82989,                0.51599,                 1.4292,                0.80952,                 1.5216,             0.00084184,             0.00084184,             0.00084184
                    103,                 0.9331,                0.62539,                 1.1387,                0.84769,                0.79308,                0.82723,                0.50504,                 1.4491,                0.83019,                 1.5277,             0.00083358,             0.00083358,             0.00083358
                    104,                0.93271,                0.63498,                 1.1425,                0.83356,                0.76728,                0.82457,                0.50098,                 1.4109,                0.84358,                 1.4935,             0.00082533,             0.00082533,             0.00082533
                    105,                0.91572,                0.62565,                 1.1421,                0.90159,                0.74275,                0.83561,                0.50988,                 1.4087,                0.81065,                 1.5201,             0.00081708,             0.00081708,             0.00081708
                    106,                0.93971,                0.64648,                 1.1635,                0.87572,                0.71558,                 0.8235,                0.49702,                 1.4526,                0.85285,                  1.562,             0.00080883,             0.00080883,             0.00080883
                    107,                0.94201,                0.64673,                 1.1564,                 0.8614,                0.79481,                0.85039,                0.52774,                 1.4211,                0.79282,                 1.5204,             0.00080058,             0.00080058,             0.00080058
                    108,                0.91306,                0.62824,                 1.1468,                0.84621,                0.76814,                0.83097,                0.51778,                 1.4341,                0.89421,                 1.5423,             0.00079233,             0.00079233,             0.00079233
                    109,                0.90923,                0.60083,                 1.1265,                0.82521,                0.78431,                0.83814,                0.52175,                 1.4122,                0.83652,                 1.5329,             0.00078407,             0.00078407,             0.00078407
                    110,                0.91139,                0.61326,                 1.1475,                0.82248,                0.75702,                0.83204,                0.51229,                 1.4102,                0.84582,                 1.5211,             0.00077582,             0.00077582,             0.00077582
                    111,                0.91551,                0.61002,                 1.1408,                0.89356,                0.70465,                 0.8244,                0.51325,                 1.4159,                0.85068,                  1.542,             0.00076757,             0.00076757,             0.00076757
                    112,                0.90077,                0.61047,                 1.1291,                0.80992,                0.79535,                0.82283,                0.51249,                  1.428,                0.82721,                  1.548,             0.00075932,             0.00075932,             0.00075932
                    113,                0.89049,                0.60588,                 1.1205,                0.86188,                 0.7645,                0.82275,                0.52823,                 1.4081,                0.86401,                 1.5277,             0.00075107,             0.00075107,             0.00075107
                    114,                0.90547,                0.62294,                 1.1366,                0.85773,                 0.7398,                0.83211,                0.52349,                 1.4117,                0.84852,                 1.5426,             0.00074282,             0.00074282,             0.00074282
                    115,                0.89438,                0.60323,                 1.1316,                0.85358,                0.77098,                0.83233,                0.51623,                 1.4155,                0.82378,                 1.5506,             0.00073456,             0.00073456,             0.00073456
                    116,                0.87419,                0.59209,                 1.1156,                0.87633,                0.75397,                 0.8415,                0.52103,                 1.4045,                0.82279,                 1.5188,             0.00072631,             0.00072631,             0.00072631
                    117,                0.88706,                0.59414,                 1.1346,                  0.874,                0.74789,                0.82803,                0.52214,                 1.4167,                0.81209,                 1.5345,             0.00071806,             0.00071806,             0.00071806
                    118,                 0.8658,                0.57098,                 1.1169,                0.86457,                0.77255,                0.83761,                0.52789,                  1.411,                0.84262,                 1.5474,             0.00070981,             0.00070981,             0.00070981
                    119,                0.87518,                0.58553,                 1.1214,                0.89784,                0.74399,                0.82824,                0.51511,                 1.4466,                0.86187,                 1.5759,             0.00070156,             0.00070156,             0.00070156
                    120,                0.88579,                0.60062,                 1.1185,                 0.9129,                0.73639,                0.84194,                0.51888,                  1.434,                0.82209,                 1.5667,             0.00069331,             0.00069331,             0.00069331
                    121,                0.86037,                0.56669,                 1.1022,                0.87987,                0.76685,                0.84167,                 0.5296,                 1.3898,                 0.8271,                 1.5356,             0.00068505,             0.00068505,             0.00068505
                    122,                0.86812,                0.59191,                  1.115,                0.87446,                0.75138,                0.83084,                0.51358,                  1.418,                0.81798,                 1.5593,              0.0006768,              0.0006768,              0.0006768
                    123,                0.84312,                0.56165,                 1.0999,                0.84433,                0.79932,                0.84554,                0.52776,                 1.4143,                0.81835,                 1.5627,             0.00066855,             0.00066855,             0.00066855
                    124,                0.85763,                0.56833,                 1.1035,                 0.8899,                0.76746,                0.84549,                0.52731,                 1.4027,                0.81487,                 1.5383,              0.0006603,              0.0006603,              0.0006603
                    125,                0.83447,                0.55984,                 1.0997,                0.88613,                0.78336,                0.85019,                0.52591,                 1.4057,                0.75896,                 1.5734,             0.00065205,             0.00065205,             0.00065205
                    126,                0.84887,                0.55854,                 1.1017,                0.86381,                0.78368,                0.84036,                0.52106,                 1.4282,                0.80758,                 1.5557,              0.0006438,              0.0006438,              0.0006438
                    127,                 0.8577,                0.56218,                 1.1088,                0.84215,                0.77494,                0.82513,                0.52659,                 1.4367,                0.79447,                   1.58,             0.00063554,             0.00063554,             0.00063554
                    128,                0.83975,                0.55856,                 1.0911,                0.86247,                0.77825,                 0.8414,                 0.5188,                 1.4172,                0.82357,                 1.5571,             0.00062729,             0.00062729,             0.00062729
                    129,                0.84334,                0.55725,                  1.105,                0.87159,                 0.7602,                0.84466,                0.53402,                 1.3912,                0.81205,                 1.5464,             0.00061904,             0.00061904,             0.00061904
                    130,                0.85572,                0.57158,                 1.1105,                0.82429,                0.76607,                0.83078,                0.53494,                  1.387,                0.82812,                 1.5294,             0.00061079,             0.00061079,             0.00061079
                    131,                0.82564,                0.54531,                  1.086,                0.87212,                0.76587,                0.83719,                0.51742,                 1.4238,                 0.8142,                 1.5755,             0.00060254,             0.00060254,             0.00060254
                    132,                0.81978,                0.53918,                 1.0776,                0.85904,                0.77809,                0.84164,                0.52296,                 1.4311,                0.83432,                 1.5543,             0.00059429,             0.00059429,             0.00059429
                    133,                0.83062,                0.54481,                 1.0868,                 0.8758,                0.77609,                0.83013,                0.52493,                 1.4189,                0.80223,                  1.541,             0.00058603,             0.00058603,             0.00058603
                    134,                0.81141,                0.55011,                 1.0824,                0.87053,                0.79836,                0.85429,                0.53869,                 1.4014,                0.78303,                 1.5315,             0.00057778,             0.00057778,             0.00057778
                    135,                0.81304,                 0.5539,                 1.0779,                0.87147,                0.76862,                0.84435,                0.53063,                 1.4165,                0.82841,                 1.5616,             0.00056953,             0.00056953,             0.00056953
